XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
10300,6.301929025712099,3.5415210000000004,161.636,95,237,93.98496240601504,69.84924623115577,89.44723618090453,27.63819095477387,87.93969849246231
10400,5.672315563735822,3.5081840000000004,177.663,103,247,94.28571428571428,80.47619047619048,91.9047619047619,32.38095238095238,91.42857142857143
10500,12.13670963349064,3.647864,85.182,62,237,96.66666666666667,72.06703910614524,89.3854748603352,13.966480446927374,89.3854748603352
10600,7.400853093544896,3.572842,138.789,85,215,94.16666666666667,72.22222222222221,90.0,25.555555555555554,90.0
10700,7.438942220084115,3.617035,137.193,83,224,92.6829268292683,75.54347826086956,90.21739130434783,27.173913043478258,92.3913043478261
10800,4.055933270496766,3.692153,271.604,139,229,95.27027027027027,78.18181818181819,92.72727272727272,38.18181818181819,91.81818181818183
10900,4.163636292844004,3.712849,256.833,132,255,94.19354838709677,75.86206896551724,90.08620689655173,34.48275862068966,90.08620689655173
11000,4.290115093036505,3.713365,250.493,128,255,95.45454545454545,77.29257641921397,92.57641921397381,36.24454148471616,92.57641921397381
11100,5.4376980506223305,3.734364,198.371,104,247,95.74468085106383,75.23809523809524,92.38095238095238,28.57142857142857,86.66666666666667
11200,6.0939437228190485,4.06327,173.605,95,232,97.70992366412213,74.48979591836735,88.77551020408163,28.061224489795915,84.6938775510204
11300,3.5091613372185293,3.804068,313.666,151,253,95.06172839506173,76.44628099173553,92.97520661157024,40.909090909090914,92.14876033057851
11400,3.467987932860069,3.877769,319.214,152,235,96.12903225806451,78.87931034482759,92.67241379310344,39.224137931034484,93.10344827586206
11500,4.870228115832077,3.947698,229.401,114,213,93.12977099236642,77.55102040816327,90.3061224489796,32.6530612244898,89.79591836734694
11600,3.62490946519624,3.919221,304.579,146,229,95.33333333333334,79.11111111111111,92.88888888888889,38.22222222222222,92.88888888888889
11700,3.372132735567192,3.94784,330.341,159,279,98.29545454545455,80.53435114503816,96.18320610687023,37.404580152671755,95.41984732824427
11800,10.74008657002588,4.006409,103.269,65,254,92.96875,76.96335078534031,92.67015706806284,23.036649214659686,85.34031413612566
11900,3.455219377874613,4.231811,330.48,149,260,98.17073170731707,78.36734693877551,94.6938775510204,37.95918367346939,87.75510204081633
12000,7.884227706743303,4.078281,151.335,84,272,96.5034965034965,73.70892018779342,92.48826291079813,25.352112676056336,94.36619718309859
12100,5.917066344921523,4.140386,199.744,100,221,94.57364341085271,71.35416666666666,89.58333333333334,29.6875,89.58333333333334
12200,11.81602450493277,4.142044,97.613,62,265,93.12977099236642,72.95918367346938,90.3061224489796,19.387755102040817,92.3469387755102
12300,4.845424856942486,4.119661,240.987,116,273,98.07692307692307,75.9656652360515,94.84978540772532,30.042918454935624,93.99141630901288
12400,5.444857598894075,4.196896,219.907,107,247,96.47887323943662,77.35849056603774,93.39622641509435,31.132075471698112,91.50943396226415
12500,6.527748702552245,4.317109,182.859,94,317,93.93939393939394,79.26829268292683,92.6829268292683,23.170731707317074,91.869918699187
12600,8.333350164609897,4.290989,148.533,80,232,94.39999999999999,79.67914438502673,86.63101604278076,24.598930481283425,87.16577540106952
12700,11.399848963465756,4.2207870000000005,108.583,66,249,93.65079365079364,66.66666666666666,90.47619047619048,19.576719576719576,89.94708994708994
12800,3.9961345882890953,4.235681,297.381,140,216,95.1048951048951,77.93427230046949,92.95774647887323,37.558685446009385,91.54929577464789
12900,9.72749717301167,4.308932,122.038,72,254,96.94656488549617,74.87179487179488,90.25641025641026,22.05128205128205,89.74358974358975
13000,3.8402526100281023,4.297566,314.556,145,270,94.57831325301204,82.32931726907631,92.7710843373494,36.144578313253014,92.3694779116466
13100,7.597188308345466,4.379921,157.343,83,229,94.39999999999999,75.40106951871658,90.37433155080214,26.737967914438503,89.83957219251337
13200,5.718165156781197,4.401756000000001,210.612,106,269,96.0,78.22222222222223,94.22222222222221,26.222222222222225,87.55555555555556
13300,8.319922788394948,4.431959,145.833,78,235,97.61904761904762,71.65775401069519,89.3048128342246,25.13368983957219,83.9572192513369
13400,4.563214622321496,4.479430000000001,272.679,128,282,95.73170731707317,76.01626016260163,93.4959349593496,30.48780487804878,92.6829268292683
13500,11.54282903650912,4.528218,107.754,64,247,95.19999999999999,71.50537634408603,91.39784946236558,21.50537634408602,89.24731182795699
13600,3.503592704220978,4.690994,353.355,153,228,94.11764705882352,76.31578947368422,89.91228070175438,39.91228070175439,90.78947368421053
13700,4.398824245586624,4.531241,287.475,132,286,94.64285714285714,76.8,89.60000000000001,34.8,86.8
13800,5.471919376805403,4.610886000000001,230.554,102,215,93.7007874015748,75.26315789473685,90.0,30.526315789473685,90.52631578947368
13900,4.052061750774115,4.972191,319.413,133,270,94.44444444444444,82.57261410788381,91.28630705394191,36.51452282157676,92.9460580912863
14000,3.874887197851379,4.774881000000001,335.1,138,290,92.44186046511628,82.03125,92.96875,35.15625,90.625
14100,8.336152742871434,4.814953,151.994,76,238,96.03174603174604,70.74468085106383,94.14893617021278,25.0,86.70212765957447
14200,8.968192181388446,4.743417999999999,143.427,75,249,93.07692307692308,74.22680412371135,91.23711340206185,24.22680412371134,89.69072164948454
14300,4.571484839628326,4.778387,294.254,122,288,96.95121951219512,78.45528455284553,92.6829268292683,30.48780487804878,86.58536585365853
14400,7.947714099036744,4.768775,166.827,83,267,97.14285714285714,73.80952380952381,89.52380952380953,22.380952380952383,91.42857142857143
14500,3.905245309802737,4.960403,342.363,138,246,97.40259740259741,81.30434782608695,90.8695652173913,39.130434782608695,90.8695652173913
14600,5.664815980135401,4.931693,235.192,103,214,98.4251968503937,68.94736842105263,92.63157894736842,31.05263157894737,88.94736842105263
14700,7.982915524963545,4.838838,166.783,82,272,96.47887323943662,77.83018867924528,93.86792452830188,24.528301886792452,93.86792452830188
14800,3.316767890476072,4.873158999999999,405.537,160,231,96.81528662420382,74.78632478632478,94.44444444444444,37.60683760683761,90.5982905982906
14900,3.694284921438864,4.925322,371.176,148,262,94.51219512195121,74.39024390243902,92.27642276422763,37.39837398373984,91.46341463414635
15000,3.7608336242445546,5.149104,366.664,144,265,96.34146341463415,78.36734693877551,94.28571428571428,34.69387755102041,93.87755102040816
